Original Sentence,Stemmed Tokens,Stemmed Sentence
"[2]
Australian Aboriginals flourished in lush coastal regions as hunter/gatherers.","australian, aborigin, flourish, lush, coastal, region, huntergather",australian aborigin flourish lush coastal region huntergather
"The British colonisation of Australia, which began in New South Wales in 1788, had a disastrous effect on the Aboriginal people, as they fell prey to infectious diseases carried by the new settlers and were gradually displaced from their traditional homeland.","british, colonis, australia, began, new, south, wale, disastr, effect, aborigin, peopl, fell, prey, infecti, diseas, carri, new, settler, gradual, displac, tradit, homeland",british colonis australia began new south wale disastr effect aborigin peopl fell prey infecti diseas carri new settler gradual displac tradit homeland
Meanwhile European settlement spread to other parts of Australia.,"meanwhil, european, settlement, spread, part, australia",meanwhil european settlement spread part australia
Brisbane was founded in 1825.,"brisban, found",brisban found
Western Australia was founded in 1829.,"western, australia, found",western australia found
The city of Perth was founded that year.,"citi, perth, found, year",citi perth found year
In 1834 a man named John Batman decided the site of Melbourne was a good place to found a settlement.,"man, name, john, batman, decid, site, melbourn, good, place, found, settlement",man name john batman decid site melbourn good place found settlement
In 1835 he made a treaty with the Aborigines in which he gave them trade goods for land.,"made, treati, aborigin, gave, trade, good, land",made treati aborigin gave trade good land
"However the treaty was not recognised by the British government, which disregarded it.","howev, treati, recognis, british, govern, disregard",howev treati recognis british govern disregard
Nevertheless the city of Melbourne was laid out on the land in a grid pattern.,"nevertheless, citi, melbourn, laid, land, grid, pattern",nevertheless citi melbourn laid land grid pattern
"In 1836 another colony was founded at Port Adelaide, which grew into South Australia.","anoth, coloni, found, port, adelaid, grew, south, australia",anoth coloni found port adelaid grew south australia
The city of Adelaide was planned by Colonel William Light (1786-1839) the first Surveyor General of Australia.,"citi, adelaid, plan, colonel, william, light, first, surveyor, gener, australia",citi adelaid plan colonel william light first surveyor gener australia
After 1815 thousands of new settlers arrived in Australia every year fleeing poverty in Britain.,"thousand, new, settler, arriv, australia, everi, year, flee, poverti, britain",thousand new settler arriv australia everi year flee poverti britain
"By 1840 the white population of Australia was about 160,000.","white, popul, australia",white popul australia
"By 1851 it was about 430,000.",,
Meanwhile explorers such as Charles Sturt 1795-1869 and Thomas Mitchell 1792-1855 explored the interior of Australia.,"meanwhil, explor, charl, sturt, thoma, mitchel, explor, interior, australia",meanwhil explor charl sturt thoma mitchel explor interior australia
In 1851 Victoria was made a separate state from New South Wales.,"victoria, made, separ, state, new, south, wale",victoria made separ state new south wale
"Queensland grew from a settlement at Moreton Bay, which was founded in 1824.","queensland, grew, settlement, moreton, bay, found",queensland grew settlement moreton bay found
Queensland became independent in 1859.,"queensland, becam, independ",queensland becam independ
"Australia did not become a federated nation until 1901 when all the colonies voted for amalgamation, and at that point the colonies became states.","australia, becom, feder, nation, coloni, vote, amalgam, point, coloni, becam, state",australia becom feder nation coloni vote amalgam point coloni becam state
"Even then Australia remained a part of the British Empire, with the British Monarch as its Head of State and a population consisting primarily of Anglo-Saxons.","even, australia, remain, part, british, empir, british, monarch, head, state, popul, consist, primarili, anglosaxon",even australia remain part british empir british monarch head state popul consist primarili anglosaxon
"In 1931 the Statute of Westminster Act was passed into law in London, and eventually ratified in Canberra in 1942 (backdated to 1939) - this Act gave Australia its independence as a nation.","statut, westminst, act, pass, law, london, eventu, ratifi, canberra, backdat, act, gave, australia, independ, nation",statut westminst act pass law london eventu ratifi canberra backdat act gave australia independ nation
"From 1931 the British Empire no longer existed, instead an association of independent countries has formed over time since then and is known as the Commonwealth of Nations.","british, empir, longer, exist, instead, associ, independ, countri, form, time, sinc, known, commonwealth, nation",british empir longer exist instead associ independ countri form time sinc known commonwealth nation
"The British Monarch at this time also continued to be the Australian Head of State - hence in Australia, the official title of the current head of state is Queen Elizabeth II, Queen of Australia which is a legally separate and distinct role to her position as the Queen of Britain.","british, monarch, time, also, continu, australian, head, state, henc, australia, offici, titl, current, head, state, queen, elizabeth, ii, queen, australia, legal, separ, distinct, role, posit, queen, britain",british monarch time also continu australian head state henc australia offici titl current head state queen elizabeth ii queen australia legal separ distinct role posit queen britain
"Throughout the 20th century, Australia maintained its ties with the UK, even though the post-WWII years saw increased immigration from other parts of Europe, Asia and Africa.","throughout, th, centuri, australia, maintain, tie, uk, even, though, postwwii, year, saw, increas, immigr, part, europ, asia, africa",throughout th centuri australia maintain tie uk even though postwwii year saw increas immigr part europ asia africa
"In 1999, Australians voted in a referendum to decide whether to become a republic, but the proposal was rejected by 55% of voters, possibly more so because of a rejection of the model offered than by an overwhelming desire to retain the Queen as Head of State.","australian, vote, referendum, decid, whether, becom, republ, propos, reject, voter, possibl, reject, model, offer, overwhelm, desir, retain, queen, head, state",australian vote referendum decid whether becom republ propos reject voter possibl reject model offer overwhelm desir retain queen head state
"Australia is the sixth largest country in the world, covering a land area of over 7,680,000 km².","australia, sixth, largest, countri, world, cover, land, area, km",australia sixth largest countri world cover land area km
It is sandwiched by the Indian Ocean and Pacific Ocean.,"sandwich, indian, ocean, pacif, ocean",sandwich indian ocean pacif ocean
"As it is an island, it has no neighbouring countries, but it is near Papua New Guinea and Indonesia (north) and New Zealand (east).","island, neighbour, countri, near, papua, new, guinea, indonesia, north, new, zealand, east",island neighbour countri near papua new guinea indonesia north new zealand east
"Australia comprises six states and two territories: New South Wales, Victoria, Queensland, South Australia, Western Australia, Tasmania, the Northern Territory, Australian Capital Territory and the Australian Antarctic territory.","australia, compris, six, state, two, territori, new, south, wale, victoria, queensland, south, australia, western, australia, tasmania, northern, territori, australian, capit, territori, australian, antarct, territori",australia compris six state two territori new south wale victoria queensland south australia western australia tasmania northern territori australian capit territori australian antarct territori
"Australia is geographically diverse, partly owing to its immense size.","australia, geograph, divers, partli, owe, immens, size",australia geograph divers partli owe immens size
"The centre of the continent is desert, known to Australians as the Outback.","centr, contin, desert, known, australian, outback",centr contin desert known australian outback
The vast majority of the population is concentrated around the eastern and south-eastern coasts.,"vast, major, popul, concentr, around, eastern, southeastern, coast",vast major popul concentr around eastern southeastern coast
"The north eastern coastline hosts the largest coral reef structure in the world, the Great Barrier Reef, consisting of roughly 3,000 individual reefs and 900 islands that stretch for 2,600 kilometres and cover an area of approximately 344,400 km².","north, eastern, coastlin, host, largest, coral, reef, structur, world, great, barrier, reef, consist, roughli, individu, reef, island, stretch, kilometr, cover, area, approxim, km",north eastern coastlin host largest coral reef structur world great barrier reef consist roughli individu reef island stretch kilometr cover area approxim km
"The Great Barrier Reef is the world's largest coral reef system, composed of roughly 3,000 individual reefs and 900 islands that stretch for 2,600 kilometres (1,616 miles) and cover an area of approximately 344,400 km² (132,974 square miles).","great, barrier, reef, world, largest, coral, reef, system, compos, roughli, individu, reef, island, stretch, kilometr, mile, cover, area, approxim, km, squar, mile",great barrier reef world largest coral reef system compos roughli individu reef island stretch kilometr mile cover area approxim km squar mile
"The reef is located in the Coral Sea, off the coast of Queensland in northeast Australia.","reef, locat, coral, sea, coast, queensland, northeast, australia",reef locat coral sea coast queensland northeast australia
Tasmania is the most significant island of Australia and a state in its own right.,"tasmania, signific, island, australia, state, right",tasmania signific island australia state right
"Others include:
There are quite a few uninhabited islands including the Coral Sea Islands, Houtman Abrolhos, the Ashmore and Cartier Islands and the remote Antarctic territories of Heard Island and McDonald Islands and Macquarie Island.","other, includ, quit, uninhabit, island, includ, coral, sea, island, houtman, abrolho, ashmor, cartier, island, remot, antarct, territori, heard, island, mcdonald, island, macquari, island",other includ quit uninhabit island includ coral sea island houtman abrolho ashmor cartier island remot antarct territori heard island mcdonald island macquari island
"It may not be the official capital, but Sydney is the focal point of Australian business and tourism.","may, offici, capit, sydney, focal, point, australian, busi, tourism",may offici capit sydney focal point australian busi tourism
The iconic Sydney Opera House is one of Australia's best-recognised national symbols.,"icon, sydney, opera, hous, one, australia, bestrecognis, nation, symbol",icon sydney opera hous one australia bestrecognis nation symbol
"Kangaroos and koalas can be seen at Sydney's prestigious Taronga Zoo, and no visit to Australia would be complete without a trip to the famous Bondi Beach or without riding the famous Manly Ferry.","kangaroo, koala, seen, sydney, prestigi, taronga, zoo, visit, australia, would, complet, without, trip, famou, bondi, beach, without, ride, famou, manli, ferri",kangaroo koala seen sydney prestigi taronga zoo visit australia would complet without trip famou bondi beach without ride famou manli ferri
"But a trip to Sydney is not just about seeing the obvious sights: it's also about taking in a diverse multicultural society, enjoying fine wine and food and launching into the surrounding Australian countryside.","trip, sydney, see, obviou, sight, also, take, divers, multicultur, societi, enjoy, fine, wine, food, launch, surround, australian, countrysid",trip sydney see obviou sight also take divers multicultur societi enjoy fine wine food launch surround australian countrysid
"Melbourne may not get the hordes of tourists that Sydney does, but rest assured that Australia's 2nd largest city packs as powerful a punch.","melbourn, may, get, hord, tourist, sydney, rest, assur, australia, nd, largest, citi, pack, power, punch",melbourn may get hord tourist sydney rest assur australia nd largest citi pack power punch
"Melburnians are a fashionable, trendy lot, provided you ignore the beer-guzzling sports fans cheering for their favourite AFL team at the MCG, Australia's largest sports stadium.","melburnian, fashion, trendi, lot, provid, ignor, beerguzzl, sport, fan, cheer, favourit, afl, team, mcg, australia, largest, sport, stadium",melburnian fashion trendi lot provid ignor beerguzzl sport fan cheer favourit afl team mcg australia largest sport stadium
Melbourne is a place where heading down dark alleyways could lead you to some of the city's most unique and interesting bars.,"melbourn, place, head, dark, alleyway, could, lead, citi, uniqu, interest, bar",melbourn place head dark alleyway could lead citi uniqu interest bar
"Adelaide, referred to by many Australians as the 'city of churches' is the capital of South Australia and with a little over 1.1 million inhabitants, home to nearly 70% of all people living in the state and Australia's fifth largest city.","adelaid, refer, mani, australian, citi, church, capit, south, australia, littl, million, inhabit, home, nearli, peopl, live, state, australia, fifth, largest, citi",adelaid refer mani australian citi church capit south australia littl million inhabit home nearli peopl live state australia fifth largest citi
"With a nickname originating from the settlement of the area and the desire to create a dignified city, it is a surprise to many that today pubs and nightclubs outnumber the churches.","nicknam, origin, settlement, area, desir, creat, dignifi, citi, surpris, mani, today, pub, nightclub, outnumb, church",nicknam origin settlement area desir creat dignifi citi surpris mani today pub nightclub outnumb church
"Adelaide is located on the coast, the southern side of South Australia, and the area surrounding Adelaide is popular for surfing.","adelaid, locat, coast, southern, side, south, australia, area, surround, adelaid, popular, surf",adelaid locat coast southern side south australia area surround adelaid popular surf
"The city is well laid out, with plenty of parks, gardens, wide boulevards and large public squares to give it a spacious and overall relaxing feel.","citi, well, laid, plenti, park, garden, wide, boulevard, larg, public, squar, give, spaciou, overal, relax, feel",citi well laid plenti park garden wide boulevard larg public squar give spaciou overal relax feel
"Adelaide is known for its many festivals, arts and sports.","adelaid, known, mani, festiv, art, sport",adelaid known mani festiv art sport
"With it's location plump in the center of the wine regions of McLaren Vale, the Barossa Valley and Clare Valley, Adelaide is also an opportune location from which to undertake daytrips to the many vineyards in the surrounding areas.","locat, plump, center, wine, region, mclaren, vale, barossa, valley, clare, valley, adelaid, also, opportun, locat, undertak, daytrip, mani, vineyard, surround, area",locat plump center wine region mclaren vale barossa valley clare valley adelaid also opportun locat undertak daytrip mani vineyard surround area
"Brisbane is a clean friendly, sunny and pleasant city in which to spend a few days before heading off to explore Queensland, or in which to recuperate after exploring.","brisban, clean, friendli, sunni, pleasant, citi, spend, day, head, explor, queensland, recuper, explor",brisban clean friendli sunni pleasant citi spend day head explor queensland recuper explor
"Brisbane is a rapidly growing modern metropolis which has given it greater stature in recent years, however it still retains the friendliness and relaxed attitude it has always been known for.","brisban, rapidli, grow, modern, metropoli, given, greater, statur, recent, year, howev, still, retain, friendli, relax, attitud, alway, known",brisban rapidli grow modern metropoli given greater statur recent year howev still retain friendli relax attitud alway known
"Known locally as Brissie or Brisvegas, its the country's third largest city.","known, local, brissi, brisvega, countri, third, largest, citi",known local brissi brisvega countri third largest citi
"For a city with less two million inhabitants, it certainly has a lot to offer; world class art galleries, massive music venues and a bustling restaurant scene.","citi, less, two, million, inhabit, certainli, lot, offer, world, class, art, galleri, massiv, music, venu, bustl, restaur, scene",citi less two million inhabit certainli lot offer world class art galleri massiv music venu bustl restaur scene
Canberra is the capital city of Australia and is located in the Australian Capital Territory to the southwest of Sydney.,"canberra, capit, citi, australia, locat, australian, capit, territori, southwest, sydney",canberra capit citi australia locat australian capit territori southwest sydney
"Following a long dispute over whether Sydney or Melbourne should be the national capital, a compromise was reached: Canberra.","follow, long, disput, whether, sydney, melbourn, nation, capit, compromis, reach, canberra",follow long disput whether sydney melbourn nation capit compromis reach canberra
It was constructed in the early 1900's following a design by architect Walter Burley Griffin.,"construct, earli, follow, design, architect, walter, burley, griffin",construct earli follow design architect walter burley griffin
The highly organised layout is evidence of the planning that went into this city.,"highli, organis, layout, evid, plan, went, citi",highli organis layout evid plan went citi
"As a result of being the nation's capital, Canberra is home to many national monuments and institutions such as the Australian War Memorial, the National Gallery of Australia, the National Portrait Gallery currently housed at Old Parliament House, the National Library of Australia, the National Archives of Australia, and the National Museum of Australia.","result, nation, capit, canberra, home, mani, nation, monument, institut, australian, war, memori, nation, galleri, australia, nation, portrait, galleri, current, hous, old, parliament, hous, nation, librari, australia, nation, archiv, australia, nation, museum, australia",result nation capit canberra home mani nation monument institut australian war memori nation galleri australia nation portrait galleri current hous old parliament hous nation librari australia nation archiv australia nation museum australia
"Darwin is the capital of the Northern Territory and Australia's smallest state capital, home to just over 100,000 people.","darwin, capit, northern, territori, australia, smallest, state, capit, home, peopl",darwin capit northern territori australia smallest state capit home peopl
It is a good base to explore the surrounding natural attractions including the UNESCO World Heritage listed Kakadu National Park.,"good, base, explor, surround, natur, attract, includ, unesco, world, heritag, list, kakadu, nation, park",good base explor surround natur attract includ unesco world heritag list kakadu nation park
"Its blend of Caucasian, Asian and Aboriginal cultures make it an interesting place to spend some time.","blend, caucasian, asian, aborigin, cultur, make, interest, place, spend, time",blend caucasian asian aborigin cultur make interest place spend time
The city has been virtually wiped out twice in its short history; once due to air raids during WWII and again when Cyclone Tracy hit in the 1970's.,"citi, virtual, wipe, twice, short, histori, due, air, raid, wwii, cyclon, traci, hit",citi virtual wipe twice short histori due air raid wwii cyclon traci hit
"As a result, the city has a distinctly modern (albeit small scale) feel to it.","result, citi, distinctli, modern, albeit, small, scale, feel",result citi distinctli modern albeit small scale feel
"Hobart, the capital of Tasmania and Australia's smallest state capital is a charming harbour city.","hobart, capit, tasmania, australia, smallest, state, capit, charm, harbour, citi",hobart capit tasmania australia smallest state capit charm harbour citi
"It is Australia's second oldest city, founded in 1803 as a penal colony.","australia, second, oldest, citi, found, penal, coloni",australia second oldest citi found penal coloni
Hobart lies at the foot of Mount Wellington and on the banks of the Derwent River.,"hobart, lie, foot, mount, wellington, bank, derwent, river",hobart lie foot mount wellington bank derwent river
"The waterfront areas Macquarie Wharf, Constitution Dock, Salamanca Place and Battery Point are just gorgeous with their Georgian buildings and the looming presence of Mount Wellington in the background.","waterfront, area, macquari, wharf, constitut, dock, salamanca, place, batteri, point, gorgeou, georgian, build, loom, presenc, mount, wellington, background",waterfront area macquari wharf constitut dock salamanca place batteri point gorgeou georgian build loom presenc mount wellington background
"The locals are very relaxed, super friendly and have none of the snobbery of Sydney and Melbourne inhabitants.","local, relax, super, friendli, none, snobberi, sydney, melbourn, inhabit",local relax super friendli none snobberi sydney melbourn inhabit
Perth is the capital of the Australian state of Western Australia.,"perth, capit, australian, state, western, australia",perth capit australian state western australia
A population of 1.5 million makes Perth the largest city in Western Australia and home to three-quarters of the state's residents.,"popul, million, make, perth, largest, citi, western, australia, home, threequart, state, resid",popul million make perth largest citi western australia home threequart state resid
"The city is also the fourth most populous urban area in Australia, and with a growth rate of 2% is currently the fastest growing major city in Australia.","citi, also, fourth, popul, urban, area, australia, growth, rate, current, fastest, grow, major, citi, australia",citi also fourth popul urban area australia growth rate current fastest grow major citi australia
It's also generally considered as the biggest city in the world which is furthest away from any other big city.,"also, gener, consid, biggest, citi, world, furthest, away, big, citi",also gener consid biggest citi world furthest away big citi
The nearest in fact would be Adelaide.,"nearest, fact, would, adelaid",nearest fact would adelaid
"Cairns is located in the northeast of Australia, along the northern coastline of Queensland.","cairn, locat, northeast, australia, along, northern, coastlin, queensland",cairn locat northeast australia along northern coastlin queensland
"Although the city itself might not have that much to offer, it's surroundings are stunning.","although, citi, might, much, offer, surround, stun",although citi might much offer surround stun
"It's the gateway to the Great Barrier Reef and the Tropical Rainforests of the north, including beautiful Cape Tribulation.","gateway, great, barrier, reef, tropic, rainforest, north, includ, beauti, cape, tribul",gateway great barrier reef tropic rainforest north includ beauti cape tribul
"Also, Port Douglas and Kuranda are just a short drive away.","also, port, dougla, kuranda, short, drive, away",also port dougla kuranda short drive away
Australia has an enormous coastline with fantastic beaches.,"australia, enorm, coastlin, fantast, beach",australia enorm coastlin fantast beach
"Although some are not recommended because of a number of reasons (undertow, sharks, salties), there are numerous beaches which are fantastic for just seeing and to be seen, swimming, surfing and snorkelling.","although, recommend, number, reason, undertow, shark, salti, numer, beach, fantast, see, seen, swim, surf, snorkel",although recommend number reason undertow shark salti numer beach fantast see seen swim surf snorkel
Bondi Beach in Sydney is probably one of the best known and busiest beaches in the country.,"bondi, beach, sydney, probabl, one, best, known, busiest, beach, countri",bondi beach sydney probabl one best known busiest beach countri
"More to the north, the Sunshine Coast and Gold Coast (including Surfers Paradise) are popular among people loving beaches and all sorts of aquatic activities and of course partying.","north, sunshin, coast, gold, coast, includ, surfer, paradis, popular, among, peopl, love, beach, sort, aquat, activ, cours, parti",north sunshin coast gold coast includ surfer paradis popular among peopl love beach sort aquat activ cours parti
Queensland has the finest beaches and this is also one of a few places where the rainforest meets the beaches and reef and Cape Tribulation and surroundings.,"queensland, finest, beach, also, one, place, rainforest, meet, beach, reef, cape, tribul, surround",queensland finest beach also one place rainforest meet beach reef cape tribul surround
"Western Australia has some great beaches around Broome, Coral Bay, Shark Bay and Monkey Mia with supreme activities like dolphin feeding and snorkelling with whale sharks and manta rays.","western, australia, great, beach, around, broom, coral, bay, shark, bay, monkey, mia, suprem, activ, like, dolphin, feed, snorkel, whale, shark, manta, ray",western australia great beach around broom coral bay shark bay monkey mia suprem activ like dolphin feed snorkel whale shark manta ray
The Blue Mountains area in New South Wales in Australia has been listed on the UNESCO World Heritage list for the unique eucalypt varieties that grace its 1 million hectares.,"blue, mountain, area, new, south, wale, australia, list, unesco, world, heritag, list, uniqu, eucalypt, varieti, grace, million, hectar",blue mountain area new south wale australia list unesco world heritag list uniqu eucalypt varieti grace million hectar
The numerous national parks in the region offer much more than botanic interest though.,"numer, nation, park, region, offer, much, botan, interest, though",numer nation park region offer much botan interest though
"The sightseeing potential in the Blue Mountains, symbolised by sites like the Three Sisters and the Jenolan Caves, succeeds in annually attracting thousands of visitors.","sightse, potenti, blue, mountain, symbolis, site, like, three, sister, jenolan, cave, succe, annual, attract, thousand, visitor",sightse potenti blue mountain symbolis site like three sister jenolan cave succe annual attract thousand visitor
Cape Tribulation is the furthest point north that most people visiting Queensland reach.,"cape, tribul, furthest, point, north, peopl, visit, queensland, reach",cape tribul furthest point north peopl visit queensland reach
"It is part of the Wet Tropics of Queensland, the rainforest here is thick, ancient and teems with wildlife.","part, wet, tropic, queensland, rainforest, thick, ancient, teem, wildlif",part wet tropic queensland rainforest thick ancient teem wildlif
"There is a range of activities here, including guided rainforest walks which are particularly recommended.","rang, activ, includ, guid, rainforest, walk, particularli, recommend",rang activ includ guid rainforest walk particularli recommend
"Be aware that it is possible to get stuck in Cape Tribulation in summer if the rain is particularly heavy, as the creeks rise up above the road.","awar, possibl, get, stuck, cape, tribul, summer, rain, particularli, heavi, creek, rise, road",awar possibl get stuck cape tribul summer rain particularli heavi creek rise road
Be sure to give yourself a couple of days room to catch flights etc.,"sure, give, coupl, day, room, catch, flight, etc",sure give coupl day room catch flight etc
"Away from Australia's coastal regions, large parts of the country are desert.","away, australia, coastal, region, larg, part, countri, desert",away australia coastal region larg part countri desert
"Together they cover 1,371,000 km² and occupy nearly a fifth of the continent.","togeth, cover, km, occupi, nearli, fifth, contin",togeth cover km occupi nearli fifth contin
"Far from being something to avoid, the deserts are one of the greatest natural attractions of the country.","far, someth, avoid, desert, one, greatest, natur, attract, countri",far someth avoid desert one greatest natur attract countri
"The five largest Australian deserts are the Great Victoria Desert, Tanami Desert, Great Sandy Desert, Simpson Desert and the Gibson Desert.","five, largest, australian, desert, great, victoria, desert, tanami, desert, great, sandi, desert, simpson, desert, gibson, desert",five largest australian desert great victoria desert tanami desert great sandi desert simpson desert gibson desert
"Smaller ones include the Little Sandy Desert, the Sturt's Stony Desert, the Strzelecki Desert and the Tirari Desert.","smaller, one, includ, littl, sandi, desert, sturt, stoni, desert, strzelecki, desert, tirari, desert",smaller one includ littl sandi desert sturt stoni desert strzelecki desert tirari desert
"The latter three are located in the border area of South Australia, New South Wales and Queensland, while the others are more to the central and central western parts of the country, which forms a much larger continuous area of desert landscapes.","latter, three, locat, border, area, south, australia, new, south, wale, queensland, other, central, central, western, part, countri, form, much, larger, continu, area, desert, landscap",latter three locat border area south australia new south wale queensland other central central western part countri form much larger continu area desert landscap
More information can be found in the Australian Deserts article.,"inform, found, australian, desert, articl",inform found australian desert articl
The Explorer Highway is just one of many great road trips in Australia.,"explor, highway, one, mani, great, road, trip, australia",explor highway one mani great road trip australia
"The route follows the trail of legendary explorer John McDouall Stuart, the first European to cross Australia from south to north.","rout, follow, trail, legendari, explor, john, mcdouall, stuart, first, european, cross, australia, south, north",rout follow trail legendari explor john mcdouall stuart first european cross australia south north
"Although the original route is not exactly the same anymore, parts of it still are.","although, origin, rout, exactli, anymor, part, still",although origin rout exactli anymor part still
"The route starts in Adelaide, or actually in Port Augusta, north of the city.","rout, start, adelaid, actual, port, augusta, north, citi",rout start adelaid actual port augusta north citi
From there you cross the deserts of South Australia and the Northern Territory before ending in tropical Darwin.,"cross, desert, south, australia, northern, territori, end, tropic, darwin",cross desert south australia northern territori end tropic darwin
"Along the way are many points of interest, including Coober Pedy, Alice Springs and Katherine.","along, way, mani, point, interest, includ, coober, pedi, alic, spring, katherin",along way mani point interest includ coober pedi alic spring katherin
"But don't forget to take bypasses to Uluru (Ayers Rock) for example, or to Kakadu National Park up in the north of the country.","nt, forget, take, bypass, uluru, ayer, rock, exampl, kakadu, nation, park, north, countri",nt forget take bypass uluru ayer rock exampl kakadu nation park north countri
"To enjoy this trip, take at least 3 to 4 weeks.","enjoy, trip, take, least, week",enjoy trip take least week
"In the last few years, it has also become possible to travel all the way from Adelaide to Darwin by train.","last, year, also, becom, possibl, travel, way, adelaid, darwin, train",last year also becom possibl travel way adelaid darwin train
The UNESCO World Heritage listed Fraser Island is the largest sand island in the world at approximately 123 kilometres long and 22 kilometres wide.,"unesco, world, heritag, list, fraser, island, largest, sand, island, world, approxim, kilometr, long, kilometr, wide",unesco world heritag list fraser island largest sand island world approxim kilometr long kilometr wide
"It is a place of amazing beauty, with its long sandy beaches, dozens of freshwater lakes (many of which have their very own beaches), ancient rainforests, coloured rock formations, crystal clear creeks and even its own shipwreck.","place, amaz, beauti, long, sandi, beach, dozen, freshwat, lake, mani, beach, ancient, rainforest, colour, rock, format, crystal, clear, creek, even, shipwreck",place amaz beauti long sandi beach dozen freshwat lake mani beach ancient rainforest colour rock format crystal clear creek even shipwreck
The main starting point for trips to Fraser Island is Hervey Bay.,"main, start, point, trip, fraser, island, hervey, bay",main start point trip fraser island hervey bay
"From here you can organise anything from 1-day trips that cover the main highlights of the island, to multi day camping trips that take in all that the island has to offer.","organis, anyth, day, trip, cover, main, highlight, island, multi, day, camp, trip, take, island, offer",organis anyth day trip cover main highlight island multi day camp trip take island offer
"Alternatively, a more adventurous choice is to take or hire your own 4x4 and explore the island by yourself, allowing you to go where you want, stay for as long as you want and camp wherever you like.","altern, adventur, choic, take, hire, x, explor, island, allow, go, want, stay, long, want, camp, wherev, like",altern adventur choic take hire x explor island allow go want stay long want camp wherev like
The Great Barrier Reef is the largest coral reef system in the world.,"great, barrier, reef, largest, coral, reef, system, world",great barrier reef largest coral reef system world
It's no surprise that it is also one of Australia's most popular natural attractions.,"surpris, also, one, australia, popular, natur, attract",surpris also one australia popular natur attract
"It is located off the coast of Queensland in northeastern Australia and stretches for some 2,600 kilometres, comprising 3,000 individual reefs and 900 islands.","locat, coast, queensland, northeastern, australia, stretch, kilometr, compris, individu, reef, island",locat coast queensland northeastern australia stretch kilometr compris individu reef island
"A large section of the reef falls within the Great Barrier Reef Marine Park, which was set up to protect it from the negative impacts of overfishing and tourism.","larg, section, reef, fall, within, great, barrier, reef, marin, park, set, protect, neg, impact, overfish, tourism",larg section reef fall within great barrier reef marin park set protect neg impact overfish tourism
Climate change forms a major threat to the reef with rising water temperatures causing mass coral bleaching.,"climat, chang, form, major, threat, reef, rise, water, temperatur, caus, mass, coral, bleach",climat chang form major threat reef rise water temperatur caus mass coral bleach
"The Great Ocean Road is one of the world's most stunning coastal drives, winding along Australia's southern coast.","great, ocean, road, one, world, stun, coastal, drive, wind, along, australia, southern, coast",great ocean road one world stun coastal drive wind along australia southern coast
"The undisputed highlight of the drive are the Twelve Apostles, but the Great Ocean Road leads past many more sights of interest, from bustling coastal towns like Lorne and Apollo Bay to the lush rainforests of Great Otway National Park.","undisput, highlight, drive, twelv, apostl, great, ocean, road, lead, past, mani, sight, interest, bustl, coastal, town, like, lorn, apollo, bay, lush, rainforest, great, otway, nation, park",undisput highlight drive twelv apostl great ocean road lead past mani sight interest bustl coastal town like lorn apollo bay lush rainforest great otway nation park
"The Great Ocean Road was built between 1919 and 1932 by Australian World War I veterans, as a memorial to their fallen comrades.","great, ocean, road, built, australian, world, war, veteran, memori, fallen, comrad",great ocean road built australian world war veteran memori fallen comrad
Their labour is all the more impressive considering the steep coastal mountains the road is built into.,"labour, impress, consid, steep, coastal, mountain, road, built",labour impress consid steep coastal mountain road built
"Gulf Country, or also called Gulf Savannah, is an increasingly popular area in the northwest of Queensland.","gulf, countri, also, call, gulf, savannah, increasingli, popular, area, northwest, queensland",gulf countri also call gulf savannah increasingli popular area northwest queensland
It refers to the area from Arnhem Land in the Northern Territory to the westcoast of Cape York in Queensland.,"refer, area, arnhem, land, northern, territori, westcoast, cape, york, queensland",refer area arnhem land northern territori westcoast cape york queensland
"Most visitors cross this area on their way from the Northern Territory to the eastcoast of Queensland, either via the sealed routes through Mount Isa and Tennant Creek, or by taking the official Savannah Way highway, which goes directly west from Normanton along mostly unsealed roads and basically connects Cairns in the northeast with Broome in the northwest of the country.","visitor, cross, area, way, northern, territori, eastcoast, queensland, either, via, seal, rout, mount, isa, tennant, creek, take, offici, savannah, way, highway, goe, directli, west, normanton, along, mostli, unseal, road, basic, connect, cairn, northeast, broom, northwest, countri",visitor cross area way northern territori eastcoast queensland either via seal rout mount isa tennant creek take offici savannah way highway goe directli west normanton along mostli unseal road basic connect cairn northeast broom northwest countri
"Karumba along the Gulf of Carpentaria, and the inland towns of Mount Isa and Normanton are some of the main attractions in the region, as are the wide open spaces and big skies.","karumba, along, gulf, carpentaria, inland, town, mount, isa, normanton, main, attract, region, wide, open, space, big, sky",karumba along gulf carpentaria inland town mount isa normanton main attract region wide open space big sky
"Kakadu National Park is a vast park the size of Israel in the Northern Territory, Australia, east of Darwin.","kakadu, nation, park, vast, park, size, israel, northern, territori, australia, east, darwin",kakadu nation park vast park size israel northern territori australia east darwin
"A UNESCO World Heritage site, Kakadu supports a huge variety of flora and fauna, many species of which are rare or endemic.","unesco, world, heritag, site, kakadu, support, huge, varieti, flora, fauna, mani, speci, rare, endem",unesco world heritag site kakadu support huge varieti flora fauna mani speci rare endem
"Historically, Kakadu was the home of Aboriginal people, and much of the current National Park is Aboriginal land.","histor, kakadu, home, aborigin, peopl, much, current, nation, park, aborigin, land",histor kakadu home aborigin peopl much current nation park aborigin land
