Original Sentence,Lemmatized Tokens,Lemmatized Sentence
"[2]
Australian Aboriginals flourished in lush coastal regions as hunter/gatherers.","australian, aboriginal, flourished, lush, coastal, region, huntergatherers",australian aboriginal flourished lush coastal region huntergatherers
"The British colonisation of Australia, which began in New South Wales in 1788, had a disastrous effect on the Aboriginal people, as they fell prey to infectious diseases carried by the new settlers and were gradually displaced from their traditional homeland.","british, colonisation, australia, began, new, south, wale, disastrous, effect, aboriginal, people, fell, prey, infectious, disease, carried, new, settler, gradually, displaced, traditional, homeland",british colonisation australia began new south wale disastrous effect aboriginal people fell prey infectious disease carried new settler gradually displaced traditional homeland
Meanwhile European settlement spread to other parts of Australia.,"meanwhile, european, settlement, spread, part, australia",meanwhile european settlement spread part australia
Brisbane was founded in 1825.,"brisbane, founded",brisbane founded
Western Australia was founded in 1829.,"western, australia, founded",western australia founded
The city of Perth was founded that year.,"city, perth, founded, year",city perth founded year
In 1834 a man named John Batman decided the site of Melbourne was a good place to found a settlement.,"man, named, john, batman, decided, site, melbourne, good, place, found, settlement",man named john batman decided site melbourne good place found settlement
In 1835 he made a treaty with the Aborigines in which he gave them trade goods for land.,"made, treaty, aborigine, gave, trade, good, land",made treaty aborigine gave trade good land
"However the treaty was not recognised by the British government, which disregarded it.","however, treaty, recognised, british, government, disregarded",however treaty recognised british government disregarded
Nevertheless the city of Melbourne was laid out on the land in a grid pattern.,"nevertheless, city, melbourne, laid, land, grid, pattern",nevertheless city melbourne laid land grid pattern
"In 1836 another colony was founded at Port Adelaide, which grew into South Australia.","another, colony, founded, port, adelaide, grew, south, australia",another colony founded port adelaide grew south australia
The city of Adelaide was planned by Colonel William Light (1786-1839) the first Surveyor General of Australia.,"city, adelaide, planned, colonel, william, light, first, surveyor, general, australia",city adelaide planned colonel william light first surveyor general australia
After 1815 thousands of new settlers arrived in Australia every year fleeing poverty in Britain.,"thousand, new, settler, arrived, australia, every, year, fleeing, poverty, britain",thousand new settler arrived australia every year fleeing poverty britain
"By 1840 the white population of Australia was about 160,000.","white, population, australia",white population australia
"By 1851 it was about 430,000.",,
Meanwhile explorers such as Charles Sturt 1795-1869 and Thomas Mitchell 1792-1855 explored the interior of Australia.,"meanwhile, explorer, charles, sturt, thomas, mitchell, explored, interior, australia",meanwhile explorer charles sturt thomas mitchell explored interior australia
In 1851 Victoria was made a separate state from New South Wales.,"victoria, made, separate, state, new, south, wale",victoria made separate state new south wale
"Queensland grew from a settlement at Moreton Bay, which was founded in 1824.","queensland, grew, settlement, moreton, bay, founded",queensland grew settlement moreton bay founded
Queensland became independent in 1859.,"queensland, became, independent",queensland became independent
"Australia did not become a federated nation until 1901 when all the colonies voted for amalgamation, and at that point the colonies became states.","australia, become, federated, nation, colony, voted, amalgamation, point, colony, became, state",australia become federated nation colony voted amalgamation point colony became state
"Even then Australia remained a part of the British Empire, with the British Monarch as its Head of State and a population consisting primarily of Anglo-Saxons.","even, australia, remained, part, british, empire, british, monarch, head, state, population, consisting, primarily, anglosaxons",even australia remained part british empire british monarch head state population consisting primarily anglosaxons
"In 1931 the Statute of Westminster Act was passed into law in London, and eventually ratified in Canberra in 1942 (backdated to 1939) - this Act gave Australia its independence as a nation.","statute, westminster, act, passed, law, london, eventually, ratified, canberra, backdated, act, gave, australia, independence, nation",statute westminster act passed law london eventually ratified canberra backdated act gave australia independence nation
"From 1931 the British Empire no longer existed, instead an association of independent countries has formed over time since then and is known as the Commonwealth of Nations.","british, empire, longer, existed, instead, association, independent, country, formed, time, since, known, commonwealth, nation",british empire longer existed instead association independent country formed time since known commonwealth nation
"The British Monarch at this time also continued to be the Australian Head of State - hence in Australia, the official title of the current head of state is Queen Elizabeth II, Queen of Australia which is a legally separate and distinct role to her position as the Queen of Britain.","british, monarch, time, also, continued, australian, head, state, hence, australia, official, title, current, head, state, queen, elizabeth, ii, queen, australia, legally, separate, distinct, role, position, queen, britain",british monarch time also continued australian head state hence australia official title current head state queen elizabeth ii queen australia legally separate distinct role position queen britain
"Throughout the 20th century, Australia maintained its ties with the UK, even though the post-WWII years saw increased immigration from other parts of Europe, Asia and Africa.","throughout, th, century, australia, maintained, tie, uk, even, though, postwwii, year, saw, increased, immigration, part, europe, asia, africa",throughout th century australia maintained tie uk even though postwwii year saw increased immigration part europe asia africa
"In 1999, Australians voted in a referendum to decide whether to become a republic, but the proposal was rejected by 55% of voters, possibly more so because of a rejection of the model offered than by an overwhelming desire to retain the Queen as Head of State.","australian, voted, referendum, decide, whether, become, republic, proposal, rejected, voter, possibly, rejection, model, offered, overwhelming, desire, retain, queen, head, state",australian voted referendum decide whether become republic proposal rejected voter possibly rejection model offered overwhelming desire retain queen head state
"Australia is the sixth largest country in the world, covering a land area of over 7,680,000 km².","australia, sixth, largest, country, world, covering, land, area, km",australia sixth largest country world covering land area km
It is sandwiched by the Indian Ocean and Pacific Ocean.,"sandwiched, indian, ocean, pacific, ocean",sandwiched indian ocean pacific ocean
"As it is an island, it has no neighbouring countries, but it is near Papua New Guinea and Indonesia (north) and New Zealand (east).","island, neighbouring, country, near, papua, new, guinea, indonesia, north, new, zealand, east",island neighbouring country near papua new guinea indonesia north new zealand east
"Australia comprises six states and two territories: New South Wales, Victoria, Queensland, South Australia, Western Australia, Tasmania, the Northern Territory, Australian Capital Territory and the Australian Antarctic territory.","australia, comprises, six, state, two, territory, new, south, wale, victoria, queensland, south, australia, western, australia, tasmania, northern, territory, australian, capital, territory, australian, antarctic, territory",australia comprises six state two territory new south wale victoria queensland south australia western australia tasmania northern territory australian capital territory australian antarctic territory
"Australia is geographically diverse, partly owing to its immense size.","australia, geographically, diverse, partly, owing, immense, size",australia geographically diverse partly owing immense size
"The centre of the continent is desert, known to Australians as the Outback.","centre, continent, desert, known, australian, outback",centre continent desert known australian outback
The vast majority of the population is concentrated around the eastern and south-eastern coasts.,"vast, majority, population, concentrated, around, eastern, southeastern, coast",vast majority population concentrated around eastern southeastern coast
"The north eastern coastline hosts the largest coral reef structure in the world, the Great Barrier Reef, consisting of roughly 3,000 individual reefs and 900 islands that stretch for 2,600 kilometres and cover an area of approximately 344,400 km².","north, eastern, coastline, host, largest, coral, reef, structure, world, great, barrier, reef, consisting, roughly, individual, reef, island, stretch, kilometre, cover, area, approximately, km",north eastern coastline host largest coral reef structure world great barrier reef consisting roughly individual reef island stretch kilometre cover area approximately km
"The Great Barrier Reef is the world's largest coral reef system, composed of roughly 3,000 individual reefs and 900 islands that stretch for 2,600 kilometres (1,616 miles) and cover an area of approximately 344,400 km² (132,974 square miles).","great, barrier, reef, world, largest, coral, reef, system, composed, roughly, individual, reef, island, stretch, kilometre, mile, cover, area, approximately, km, square, mile",great barrier reef world largest coral reef system composed roughly individual reef island stretch kilometre mile cover area approximately km square mile
"The reef is located in the Coral Sea, off the coast of Queensland in northeast Australia.","reef, located, coral, sea, coast, queensland, northeast, australia",reef located coral sea coast queensland northeast australia
Tasmania is the most significant island of Australia and a state in its own right.,"tasmania, significant, island, australia, state, right",tasmania significant island australia state right
"Others include:
There are quite a few uninhabited islands including the Coral Sea Islands, Houtman Abrolhos, the Ashmore and Cartier Islands and the remote Antarctic territories of Heard Island and McDonald Islands and Macquarie Island.","others, include, quite, uninhabited, island, including, coral, sea, island, houtman, abrolhos, ashmore, cartier, island, remote, antarctic, territory, heard, island, mcdonald, island, macquarie, island",others include quite uninhabited island including coral sea island houtman abrolhos ashmore cartier island remote antarctic territory heard island mcdonald island macquarie island
"It may not be the official capital, but Sydney is the focal point of Australian business and tourism.","may, official, capital, sydney, focal, point, australian, business, tourism",may official capital sydney focal point australian business tourism
The iconic Sydney Opera House is one of Australia's best-recognised national symbols.,"iconic, sydney, opera, house, one, australia, bestrecognised, national, symbol",iconic sydney opera house one australia bestrecognised national symbol
"Kangaroos and koalas can be seen at Sydney's prestigious Taronga Zoo, and no visit to Australia would be complete without a trip to the famous Bondi Beach or without riding the famous Manly Ferry.","kangaroo, koala, seen, sydney, prestigious, taronga, zoo, visit, australia, would, complete, without, trip, famous, bondi, beach, without, riding, famous, manly, ferry",kangaroo koala seen sydney prestigious taronga zoo visit australia would complete without trip famous bondi beach without riding famous manly ferry
"But a trip to Sydney is not just about seeing the obvious sights: it's also about taking in a diverse multicultural society, enjoying fine wine and food and launching into the surrounding Australian countryside.","trip, sydney, seeing, obvious, sight, also, taking, diverse, multicultural, society, enjoying, fine, wine, food, launching, surrounding, australian, countryside",trip sydney seeing obvious sight also taking diverse multicultural society enjoying fine wine food launching surrounding australian countryside
"Melbourne may not get the hordes of tourists that Sydney does, but rest assured that Australia's 2nd largest city packs as powerful a punch.","melbourne, may, get, horde, tourist, sydney, rest, assured, australia, nd, largest, city, pack, powerful, punch",melbourne may get horde tourist sydney rest assured australia nd largest city pack powerful punch
"Melburnians are a fashionable, trendy lot, provided you ignore the beer-guzzling sports fans cheering for their favourite AFL team at the MCG, Australia's largest sports stadium.","melburnians, fashionable, trendy, lot, provided, ignore, beerguzzling, sport, fan, cheering, favourite, afl, team, mcg, australia, largest, sport, stadium",melburnians fashionable trendy lot provided ignore beerguzzling sport fan cheering favourite afl team mcg australia largest sport stadium
Melbourne is a place where heading down dark alleyways could lead you to some of the city's most unique and interesting bars.,"melbourne, place, heading, dark, alleyway, could, lead, city, unique, interesting, bar",melbourne place heading dark alleyway could lead city unique interesting bar
"Adelaide, referred to by many Australians as the 'city of churches' is the capital of South Australia and with a little over 1.1 million inhabitants, home to nearly 70% of all people living in the state and Australia's fifth largest city.","adelaide, referred, many, australian, city, church, capital, south, australia, little, million, inhabitant, home, nearly, people, living, state, australia, fifth, largest, city",adelaide referred many australian city church capital south australia little million inhabitant home nearly people living state australia fifth largest city
"With a nickname originating from the settlement of the area and the desire to create a dignified city, it is a surprise to many that today pubs and nightclubs outnumber the churches.","nickname, originating, settlement, area, desire, create, dignified, city, surprise, many, today, pub, nightclub, outnumber, church",nickname originating settlement area desire create dignified city surprise many today pub nightclub outnumber church
"Adelaide is located on the coast, the southern side of South Australia, and the area surrounding Adelaide is popular for surfing.","adelaide, located, coast, southern, side, south, australia, area, surrounding, adelaide, popular, surfing",adelaide located coast southern side south australia area surrounding adelaide popular surfing
"The city is well laid out, with plenty of parks, gardens, wide boulevards and large public squares to give it a spacious and overall relaxing feel.","city, well, laid, plenty, park, garden, wide, boulevard, large, public, square, give, spacious, overall, relaxing, feel",city well laid plenty park garden wide boulevard large public square give spacious overall relaxing feel
"Adelaide is known for its many festivals, arts and sports.","adelaide, known, many, festival, art, sport",adelaide known many festival art sport
"With it's location plump in the center of the wine regions of McLaren Vale, the Barossa Valley and Clare Valley, Adelaide is also an opportune location from which to undertake daytrips to the many vineyards in the surrounding areas.","location, plump, center, wine, region, mclaren, vale, barossa, valley, clare, valley, adelaide, also, opportune, location, undertake, daytrips, many, vineyard, surrounding, area",location plump center wine region mclaren vale barossa valley clare valley adelaide also opportune location undertake daytrips many vineyard surrounding area
"Brisbane is a clean friendly, sunny and pleasant city in which to spend a few days before heading off to explore Queensland, or in which to recuperate after exploring.","brisbane, clean, friendly, sunny, pleasant, city, spend, day, heading, explore, queensland, recuperate, exploring",brisbane clean friendly sunny pleasant city spend day heading explore queensland recuperate exploring
"Brisbane is a rapidly growing modern metropolis which has given it greater stature in recent years, however it still retains the friendliness and relaxed attitude it has always been known for.","brisbane, rapidly, growing, modern, metropolis, given, greater, stature, recent, year, however, still, retains, friendliness, relaxed, attitude, always, known",brisbane rapidly growing modern metropolis given greater stature recent year however still retains friendliness relaxed attitude always known
"Known locally as Brissie or Brisvegas, its the country's third largest city.","known, locally, brissie, brisvegas, country, third, largest, city",known locally brissie brisvegas country third largest city
"For a city with less two million inhabitants, it certainly has a lot to offer; world class art galleries, massive music venues and a bustling restaurant scene.","city, less, two, million, inhabitant, certainly, lot, offer, world, class, art, gallery, massive, music, venue, bustling, restaurant, scene",city less two million inhabitant certainly lot offer world class art gallery massive music venue bustling restaurant scene
Canberra is the capital city of Australia and is located in the Australian Capital Territory to the southwest of Sydney.,"canberra, capital, city, australia, located, australian, capital, territory, southwest, sydney",canberra capital city australia located australian capital territory southwest sydney
"Following a long dispute over whether Sydney or Melbourne should be the national capital, a compromise was reached: Canberra.","following, long, dispute, whether, sydney, melbourne, national, capital, compromise, reached, canberra",following long dispute whether sydney melbourne national capital compromise reached canberra
It was constructed in the early 1900's following a design by architect Walter Burley Griffin.,"constructed, early, following, design, architect, walter, burley, griffin",constructed early following design architect walter burley griffin
The highly organised layout is evidence of the planning that went into this city.,"highly, organised, layout, evidence, planning, went, city",highly organised layout evidence planning went city
"As a result of being the nation's capital, Canberra is home to many national monuments and institutions such as the Australian War Memorial, the National Gallery of Australia, the National Portrait Gallery currently housed at Old Parliament House, the National Library of Australia, the National Archives of Australia, and the National Museum of Australia.","result, nation, capital, canberra, home, many, national, monument, institution, australian, war, memorial, national, gallery, australia, national, portrait, gallery, currently, housed, old, parliament, house, national, library, australia, national, archive, australia, national, museum, australia",result nation capital canberra home many national monument institution australian war memorial national gallery australia national portrait gallery currently housed old parliament house national library australia national archive australia national museum australia
"Darwin is the capital of the Northern Territory and Australia's smallest state capital, home to just over 100,000 people.","darwin, capital, northern, territory, australia, smallest, state, capital, home, people",darwin capital northern territory australia smallest state capital home people
It is a good base to explore the surrounding natural attractions including the UNESCO World Heritage listed Kakadu National Park.,"good, base, explore, surrounding, natural, attraction, including, unesco, world, heritage, listed, kakadu, national, park",good base explore surrounding natural attraction including unesco world heritage listed kakadu national park
"Its blend of Caucasian, Asian and Aboriginal cultures make it an interesting place to spend some time.","blend, caucasian, asian, aboriginal, culture, make, interesting, place, spend, time",blend caucasian asian aboriginal culture make interesting place spend time
The city has been virtually wiped out twice in its short history; once due to air raids during WWII and again when Cyclone Tracy hit in the 1970's.,"city, virtually, wiped, twice, short, history, due, air, raid, wwii, cyclone, tracy, hit",city virtually wiped twice short history due air raid wwii cyclone tracy hit
"As a result, the city has a distinctly modern (albeit small scale) feel to it.","result, city, distinctly, modern, albeit, small, scale, feel",result city distinctly modern albeit small scale feel
"Hobart, the capital of Tasmania and Australia's smallest state capital is a charming harbour city.","hobart, capital, tasmania, australia, smallest, state, capital, charming, harbour, city",hobart capital tasmania australia smallest state capital charming harbour city
"It is Australia's second oldest city, founded in 1803 as a penal colony.","australia, second, oldest, city, founded, penal, colony",australia second oldest city founded penal colony
Hobart lies at the foot of Mount Wellington and on the banks of the Derwent River.,"hobart, lie, foot, mount, wellington, bank, derwent, river",hobart lie foot mount wellington bank derwent river
"The waterfront areas Macquarie Wharf, Constitution Dock, Salamanca Place and Battery Point are just gorgeous with their Georgian buildings and the looming presence of Mount Wellington in the background.","waterfront, area, macquarie, wharf, constitution, dock, salamanca, place, battery, point, gorgeous, georgian, building, looming, presence, mount, wellington, background",waterfront area macquarie wharf constitution dock salamanca place battery point gorgeous georgian building looming presence mount wellington background
"The locals are very relaxed, super friendly and have none of the snobbery of Sydney and Melbourne inhabitants.","local, relaxed, super, friendly, none, snobbery, sydney, melbourne, inhabitant",local relaxed super friendly none snobbery sydney melbourne inhabitant
Perth is the capital of the Australian state of Western Australia.,"perth, capital, australian, state, western, australia",perth capital australian state western australia
A population of 1.5 million makes Perth the largest city in Western Australia and home to three-quarters of the state's residents.,"population, million, make, perth, largest, city, western, australia, home, threequarters, state, resident",population million make perth largest city western australia home threequarters state resident
"The city is also the fourth most populous urban area in Australia, and with a growth rate of 2% is currently the fastest growing major city in Australia.","city, also, fourth, populous, urban, area, australia, growth, rate, currently, fastest, growing, major, city, australia",city also fourth populous urban area australia growth rate currently fastest growing major city australia
It's also generally considered as the biggest city in the world which is furthest away from any other big city.,"also, generally, considered, biggest, city, world, furthest, away, big, city",also generally considered biggest city world furthest away big city
The nearest in fact would be Adelaide.,"nearest, fact, would, adelaide",nearest fact would adelaide
"Cairns is located in the northeast of Australia, along the northern coastline of Queensland.","cairn, located, northeast, australia, along, northern, coastline, queensland",cairn located northeast australia along northern coastline queensland
"Although the city itself might not have that much to offer, it's surroundings are stunning.","although, city, might, much, offer, surroundings, stunning",although city might much offer surroundings stunning
"It's the gateway to the Great Barrier Reef and the Tropical Rainforests of the north, including beautiful Cape Tribulation.","gateway, great, barrier, reef, tropical, rainforest, north, including, beautiful, cape, tribulation",gateway great barrier reef tropical rainforest north including beautiful cape tribulation
"Also, Port Douglas and Kuranda are just a short drive away.","also, port, douglas, kuranda, short, drive, away",also port douglas kuranda short drive away
Australia has an enormous coastline with fantastic beaches.,"australia, enormous, coastline, fantastic, beach",australia enormous coastline fantastic beach
"Although some are not recommended because of a number of reasons (undertow, sharks, salties), there are numerous beaches which are fantastic for just seeing and to be seen, swimming, surfing and snorkelling.","although, recommended, number, reason, undertow, shark, salties, numerous, beach, fantastic, seeing, seen, swimming, surfing, snorkelling",although recommended number reason undertow shark salties numerous beach fantastic seeing seen swimming surfing snorkelling
Bondi Beach in Sydney is probably one of the best known and busiest beaches in the country.,"bondi, beach, sydney, probably, one, best, known, busiest, beach, country",bondi beach sydney probably one best known busiest beach country
"More to the north, the Sunshine Coast and Gold Coast (including Surfers Paradise) are popular among people loving beaches and all sorts of aquatic activities and of course partying.","north, sunshine, coast, gold, coast, including, surfer, paradise, popular, among, people, loving, beach, sort, aquatic, activity, course, partying",north sunshine coast gold coast including surfer paradise popular among people loving beach sort aquatic activity course partying
Queensland has the finest beaches and this is also one of a few places where the rainforest meets the beaches and reef and Cape Tribulation and surroundings.,"queensland, finest, beach, also, one, place, rainforest, meet, beach, reef, cape, tribulation, surroundings",queensland finest beach also one place rainforest meet beach reef cape tribulation surroundings
"Western Australia has some great beaches around Broome, Coral Bay, Shark Bay and Monkey Mia with supreme activities like dolphin feeding and snorkelling with whale sharks and manta rays.","western, australia, great, beach, around, broome, coral, bay, shark, bay, monkey, mia, supreme, activity, like, dolphin, feeding, snorkelling, whale, shark, manta, ray",western australia great beach around broome coral bay shark bay monkey mia supreme activity like dolphin feeding snorkelling whale shark manta ray
The Blue Mountains area in New South Wales in Australia has been listed on the UNESCO World Heritage list for the unique eucalypt varieties that grace its 1 million hectares.,"blue, mountain, area, new, south, wale, australia, listed, unesco, world, heritage, list, unique, eucalypt, variety, grace, million, hectare",blue mountain area new south wale australia listed unesco world heritage list unique eucalypt variety grace million hectare
The numerous national parks in the region offer much more than botanic interest though.,"numerous, national, park, region, offer, much, botanic, interest, though",numerous national park region offer much botanic interest though
"The sightseeing potential in the Blue Mountains, symbolised by sites like the Three Sisters and the Jenolan Caves, succeeds in annually attracting thousands of visitors.","sightseeing, potential, blue, mountain, symbolised, site, like, three, sister, jenolan, cave, succeeds, annually, attracting, thousand, visitor",sightseeing potential blue mountain symbolised site like three sister jenolan cave succeeds annually attracting thousand visitor
Cape Tribulation is the furthest point north that most people visiting Queensland reach.,"cape, tribulation, furthest, point, north, people, visiting, queensland, reach",cape tribulation furthest point north people visiting queensland reach
"It is part of the Wet Tropics of Queensland, the rainforest here is thick, ancient and teems with wildlife.","part, wet, tropic, queensland, rainforest, thick, ancient, teems, wildlife",part wet tropic queensland rainforest thick ancient teems wildlife
"There is a range of activities here, including guided rainforest walks which are particularly recommended.","range, activity, including, guided, rainforest, walk, particularly, recommended",range activity including guided rainforest walk particularly recommended
"Be aware that it is possible to get stuck in Cape Tribulation in summer if the rain is particularly heavy, as the creeks rise up above the road.","aware, possible, get, stuck, cape, tribulation, summer, rain, particularly, heavy, creek, rise, road",aware possible get stuck cape tribulation summer rain particularly heavy creek rise road
Be sure to give yourself a couple of days room to catch flights etc.,"sure, give, couple, day, room, catch, flight, etc",sure give couple day room catch flight etc
"Away from Australia's coastal regions, large parts of the country are desert.","away, australia, coastal, region, large, part, country, desert",away australia coastal region large part country desert
"Together they cover 1,371,000 km² and occupy nearly a fifth of the continent.","together, cover, km, occupy, nearly, fifth, continent",together cover km occupy nearly fifth continent
"Far from being something to avoid, the deserts are one of the greatest natural attractions of the country.","far, something, avoid, desert, one, greatest, natural, attraction, country",far something avoid desert one greatest natural attraction country
"The five largest Australian deserts are the Great Victoria Desert, Tanami Desert, Great Sandy Desert, Simpson Desert and the Gibson Desert.","five, largest, australian, desert, great, victoria, desert, tanami, desert, great, sandy, desert, simpson, desert, gibson, desert",five largest australian desert great victoria desert tanami desert great sandy desert simpson desert gibson desert
"Smaller ones include the Little Sandy Desert, the Sturt's Stony Desert, the Strzelecki Desert and the Tirari Desert.","smaller, one, include, little, sandy, desert, sturt, stony, desert, strzelecki, desert, tirari, desert",smaller one include little sandy desert sturt stony desert strzelecki desert tirari desert
"The latter three are located in the border area of South Australia, New South Wales and Queensland, while the others are more to the central and central western parts of the country, which forms a much larger continuous area of desert landscapes.","latter, three, located, border, area, south, australia, new, south, wale, queensland, others, central, central, western, part, country, form, much, larger, continuous, area, desert, landscape",latter three located border area south australia new south wale queensland others central central western part country form much larger continuous area desert landscape
More information can be found in the Australian Deserts article.,"information, found, australian, desert, article",information found australian desert article
The Explorer Highway is just one of many great road trips in Australia.,"explorer, highway, one, many, great, road, trip, australia",explorer highway one many great road trip australia
"The route follows the trail of legendary explorer John McDouall Stuart, the first European to cross Australia from south to north.","route, follows, trail, legendary, explorer, john, mcdouall, stuart, first, european, cross, australia, south, north",route follows trail legendary explorer john mcdouall stuart first european cross australia south north
"Although the original route is not exactly the same anymore, parts of it still are.","although, original, route, exactly, anymore, part, still",although original route exactly anymore part still
"The route starts in Adelaide, or actually in Port Augusta, north of the city.","route, start, adelaide, actually, port, augusta, north, city",route start adelaide actually port augusta north city
From there you cross the deserts of South Australia and the Northern Territory before ending in tropical Darwin.,"cross, desert, south, australia, northern, territory, ending, tropical, darwin",cross desert south australia northern territory ending tropical darwin
"Along the way are many points of interest, including Coober Pedy, Alice Springs and Katherine.","along, way, many, point, interest, including, coober, pedy, alice, spring, katherine",along way many point interest including coober pedy alice spring katherine
"But don't forget to take bypasses to Uluru (Ayers Rock) for example, or to Kakadu National Park up in the north of the country.","nt, forget, take, bypass, uluru, ayers, rock, example, kakadu, national, park, north, country",nt forget take bypass uluru ayers rock example kakadu national park north country
"To enjoy this trip, take at least 3 to 4 weeks.","enjoy, trip, take, least, week",enjoy trip take least week
"In the last few years, it has also become possible to travel all the way from Adelaide to Darwin by train.","last, year, also, become, possible, travel, way, adelaide, darwin, train",last year also become possible travel way adelaide darwin train
The UNESCO World Heritage listed Fraser Island is the largest sand island in the world at approximately 123 kilometres long and 22 kilometres wide.,"unesco, world, heritage, listed, fraser, island, largest, sand, island, world, approximately, kilometre, long, kilometre, wide",unesco world heritage listed fraser island largest sand island world approximately kilometre long kilometre wide
"It is a place of amazing beauty, with its long sandy beaches, dozens of freshwater lakes (many of which have their very own beaches), ancient rainforests, coloured rock formations, crystal clear creeks and even its own shipwreck.","place, amazing, beauty, long, sandy, beach, dozen, freshwater, lake, many, beach, ancient, rainforest, coloured, rock, formation, crystal, clear, creek, even, shipwreck",place amazing beauty long sandy beach dozen freshwater lake many beach ancient rainforest coloured rock formation crystal clear creek even shipwreck
The main starting point for trips to Fraser Island is Hervey Bay.,"main, starting, point, trip, fraser, island, hervey, bay",main starting point trip fraser island hervey bay
"From here you can organise anything from 1-day trips that cover the main highlights of the island, to multi day camping trips that take in all that the island has to offer.","organise, anything, day, trip, cover, main, highlight, island, multi, day, camping, trip, take, island, offer",organise anything day trip cover main highlight island multi day camping trip take island offer
"Alternatively, a more adventurous choice is to take or hire your own 4x4 and explore the island by yourself, allowing you to go where you want, stay for as long as you want and camp wherever you like.","alternatively, adventurous, choice, take, hire, x, explore, island, allowing, go, want, stay, long, want, camp, wherever, like",alternatively adventurous choice take hire x explore island allowing go want stay long want camp wherever like
The Great Barrier Reef is the largest coral reef system in the world.,"great, barrier, reef, largest, coral, reef, system, world",great barrier reef largest coral reef system world
It's no surprise that it is also one of Australia's most popular natural attractions.,"surprise, also, one, australia, popular, natural, attraction",surprise also one australia popular natural attraction
"It is located off the coast of Queensland in northeastern Australia and stretches for some 2,600 kilometres, comprising 3,000 individual reefs and 900 islands.","located, coast, queensland, northeastern, australia, stretch, kilometre, comprising, individual, reef, island",located coast queensland northeastern australia stretch kilometre comprising individual reef island
"A large section of the reef falls within the Great Barrier Reef Marine Park, which was set up to protect it from the negative impacts of overfishing and tourism.","large, section, reef, fall, within, great, barrier, reef, marine, park, set, protect, negative, impact, overfishing, tourism",large section reef fall within great barrier reef marine park set protect negative impact overfishing tourism
Climate change forms a major threat to the reef with rising water temperatures causing mass coral bleaching.,"climate, change, form, major, threat, reef, rising, water, temperature, causing, mass, coral, bleaching",climate change form major threat reef rising water temperature causing mass coral bleaching
"The Great Ocean Road is one of the world's most stunning coastal drives, winding along Australia's southern coast.","great, ocean, road, one, world, stunning, coastal, drive, winding, along, australia, southern, coast",great ocean road one world stunning coastal drive winding along australia southern coast
"The undisputed highlight of the drive are the Twelve Apostles, but the Great Ocean Road leads past many more sights of interest, from bustling coastal towns like Lorne and Apollo Bay to the lush rainforests of Great Otway National Park.","undisputed, highlight, drive, twelve, apostle, great, ocean, road, lead, past, many, sight, interest, bustling, coastal, town, like, lorne, apollo, bay, lush, rainforest, great, otway, national, park",undisputed highlight drive twelve apostle great ocean road lead past many sight interest bustling coastal town like lorne apollo bay lush rainforest great otway national park
"The Great Ocean Road was built between 1919 and 1932 by Australian World War I veterans, as a memorial to their fallen comrades.","great, ocean, road, built, australian, world, war, veteran, memorial, fallen, comrade",great ocean road built australian world war veteran memorial fallen comrade
Their labour is all the more impressive considering the steep coastal mountains the road is built into.,"labour, impressive, considering, steep, coastal, mountain, road, built",labour impressive considering steep coastal mountain road built
"Gulf Country, or also called Gulf Savannah, is an increasingly popular area in the northwest of Queensland.","gulf, country, also, called, gulf, savannah, increasingly, popular, area, northwest, queensland",gulf country also called gulf savannah increasingly popular area northwest queensland
It refers to the area from Arnhem Land in the Northern Territory to the westcoast of Cape York in Queensland.,"refers, area, arnhem, land, northern, territory, westcoast, cape, york, queensland",refers area arnhem land northern territory westcoast cape york queensland
"Most visitors cross this area on their way from the Northern Territory to the eastcoast of Queensland, either via the sealed routes through Mount Isa and Tennant Creek, or by taking the official Savannah Way highway, which goes directly west from Normanton along mostly unsealed roads and basically connects Cairns in the northeast with Broome in the northwest of the country.","visitor, cross, area, way, northern, territory, eastcoast, queensland, either, via, sealed, route, mount, isa, tennant, creek, taking, official, savannah, way, highway, go, directly, west, normanton, along, mostly, unsealed, road, basically, connects, cairn, northeast, broome, northwest, country",visitor cross area way northern territory eastcoast queensland either via sealed route mount isa tennant creek taking official savannah way highway go directly west normanton along mostly unsealed road basically connects cairn northeast broome northwest country
"Karumba along the Gulf of Carpentaria, and the inland towns of Mount Isa and Normanton are some of the main attractions in the region, as are the wide open spaces and big skies.","karumba, along, gulf, carpentaria, inland, town, mount, isa, normanton, main, attraction, region, wide, open, space, big, sky",karumba along gulf carpentaria inland town mount isa normanton main attraction region wide open space big sky
"Kakadu National Park is a vast park the size of Israel in the Northern Territory, Australia, east of Darwin.","kakadu, national, park, vast, park, size, israel, northern, territory, australia, east, darwin",kakadu national park vast park size israel northern territory australia east darwin
"A UNESCO World Heritage site, Kakadu supports a huge variety of flora and fauna, many species of which are rare or endemic.","unesco, world, heritage, site, kakadu, support, huge, variety, flora, fauna, many, specie, rare, endemic",unesco world heritage site kakadu support huge variety flora fauna many specie rare endemic
"Historically, Kakadu was the home of Aboriginal people, and much of the current National Park is Aboriginal land.","historically, kakadu, home, aboriginal, people, much, current, national, park, aboriginal, land",historically kakadu home aboriginal people much current national park aboriginal land
"The area is also rich in Aboriginal rock art, with over 5,000 sites found.","area, also, rich, aboriginal, rock, art, site, found",area also rich aboriginal rock art site found
